has_dependents,tenure_mo,home_phone,multi_line,internet_plan,contract_term,e_bill_opt_in,pay_method,monthly_fee,total_billed,gender,age_years,is_married,dependents_count,referred_friend,referrals_count,recent_offer,avg_long_dist_fee,internet_tech,avg_gb_download,unlimited_data_opt,extra_data_fees_total,long_dist_fees_total,received_refund,tenure_log1p,tenure_group,bundle_score,is_autopay,penalty_fees_total,penalty_fee_rate,avg_billed_per_month,fee_minus_avg_billed,recent_offer_missing,left_flag
No,1,0,No,DSL,Month-to-month,Yes,Electronic check,29.85,29.85,Female,36,Yes,0,No,0,Offer E,0.0,DSL,10,Yes,0,0.0,0,0.6931471805599453,0-6,1,0,0.0,0.0,29.85,0.0,0,0
No,34,1,No,DSL,One year,No,Mailed check,56.95,1889.5,Male,46,No,0,No,0,Unknown,17.09,DSL,16,Yes,0,581.06,0,3.5553480614894135,25-48,2,0,581.06,0.3075205080709182,55.5735294117647,1.3764705882352999,1,0
No,2,1,No,DSL,Month-to-month,Yes,Mailed check,53.85,108.15,Male,37,No,0,No,0,Unknown,10.47,DSL,21,Yes,0,20.94,0,1.0986122886681098,0-6,2,0,20.94,0.19361997226074895,54.075,-0.22500000000000142,1,1
No,45,0,No,DSL,One year,No,Bank transfer (automatic),42.3,1840.75,Male,53,No,0,No,0,Unknown,0.0,DSL,10,Yes,0,0.0,0,3.828641396489095,25-48,4,1,0.0,0.0,40.90555555555556,1.3944444444444386,1,0
No,2,1,No,Fiber optic,Month-to-month,Yes,Electronic check,70.7,151.65,Female,19,No,2,No,0,Unknown,9.12,Fiber Optic,51,Yes,0,18.24,0,1.0986122886681098,0-6,0,0,18.24,0.12027695351137487,75.825,-5.125,1,1
Yes,22,1,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,Male,42,No,3,No,0,Offer D,29.54,Fiber Optic,53,Yes,0,649.88,0,3.1354942159291497,13-24,2,1,649.88,0.3333743716015184,88.60909090909091,0.49090909090908497,0,0
No,10,0,No,DSL,Month-to-month,No,Mailed check,29.75,301.9,Female,42,No,0,No,0,Offer D,0.0,DSL,8,Yes,0,0.0,0,2.3978952727983707,7-12,1,0,0.0,0.0,30.189999999999998,-0.4399999999999977,0,0
No,28,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.8,3046.05,Female,23,Yes,3,No,0,Offer C,4.89,Fiber Optic,47,Yes,0,136.92,0,3.367295829986474,25-48,6,0,136.92,0.04495001723543605,108.78750000000001,-3.9875000000000114,0,1
Yes,62,1,No,DSL,One year,No,Bank transfer (automatic),56.15,3487.95,Male,48,No,0,No,0,Offer B,7.96,DSL,8,Yes,0,493.52,0,4.143134726391533,49-72,2,1,493.52,0.14149285396866354,56.25725806451613,-0.10725806451613096,0,0
Yes,13,1,No,DSL,Month-to-month,Yes,Mailed check,49.95,587.45,Male,37,Yes,2,Yes,1,Offer D,29.68,DSL,22,No,150,385.84,0,2.6390573296152584,13-24,1,0,535.8399999999999,0.9121457145288958,45.18846153846154,4.761538461538464,0,0
No,16,1,No,No,Two year,No,Credit card (automatic),18.95,326.8,Male,21,No,0,No,0,Offer D,32.62,Unknown,0,No,0,521.92,0,2.833213344056216,13-24,0,1,521.92,1.597062423500612,20.425,-1.4750000000000014,0,0
No,58,1,Yes,Fiber optic,One year,No,Credit card (automatic),100.35,5681.1,Male,39,Yes,0,Yes,7,Offer B,5.69,Fiber Optic,10,Yes,0,330.02,0,4.07753744390572,49-72,4,1,330.02,0.05809086268504338,97.95,2.3999999999999915,0,0
No,49,1,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Male,38,No,1,No,0,Unknown,44.33,Fiber Optic,11,Yes,0,2172.17,0,3.912023005428146,49-72,5,1,2172.17,0.4313027420924091,102.78163265306122,0.9183673469387799,1,1
No,25,1,No,Fiber optic,Month-to-month,Yes,Electronic check,105.5,2686.05,Male,27,No,0,No,0,Unknown,10.4,Fiber Optic,48,Yes,0,260.0,0,3.258096538021482,25-48,7,0,260.0,0.096796411086912,107.44200000000001,-1.9420000000000073,1,0
Yes,69,1,Yes,Fiber optic,Two year,No,Credit card (automatic),113.25,7895.15,Female,48,Yes,0,Yes,7,Offer A,33.23,Fiber Optic,3,Yes,0,2292.87,0,4.248495242049359,49-72,8,1,2292.87,0.2904150016149155,114.42246376811593,-1.1724637681159322,0,0
No,52,1,No,No,One year,No,Mailed check,20.65,1022.95,Female,57,No,0,No,0,Offer B,22.55,Unknown,0,No,0,1172.6,0,3.970291913552122,49-72,0,0,1172.6,1.1462925851703405,19.672115384615385,0.9778846153846139,0,0
Yes,71,1,Yes,Fiber optic,Two year,No,Bank transfer (automatic),106.7,7382.25,Male,61,No,0,No,0,Unknown,14.67,Fiber Optic,7,Yes,0,1041.57,0,4.276666119016055,49-72,5,1,1041.57,0.14109113075281926,103.97535211267606,2.7246478873239397,1,0
No,21,1,No,Fiber optic,Month-to-month,Yes,Electronic check,90.05,1862.9,Female,30,No,0,No,0,Offer D,6.49,Fiber Optic,73,No,30,136.29,0,3.091042453358316,13-24,4,0,166.29,0.08926405067368082,88.70952380952382,1.3404761904761813,0,0
No,1,0,No,DSL,Month-to-month,Yes,Electronic check,39.65,39.65,Male,78,No,0,No,0,Unknown,0.0,DSL,8,No,20,0.0,0,0.6931471805599453,0-6,2,0,20.0,0.5044136191677175,39.65,0.0,1,1
No,12,1,No,No,One year,No,Bank transfer (automatic),19.8,202.25,Male,45,Yes,0,Yes,10,Offer D,11.04,Unknown,0,No,0,132.48,0,2.5649493574615367,7-12,0,1,132.48,0.6550309023485784,16.854166666666668,2.945833333333333,0,0
No,1,1,No,No,Month-to-month,No,Mailed check,20.15,20.15,Male,29,No,0,No,0,Unknown,33.58,Unknown,0,No,0,33.58,0,0.6931471805599453,0-6,0,0,33.58,1.6665012406947892,20.15,0.0,1,1
Yes,49,1,No,DSL,Month-to-month,No,Credit card (automatic),59.6,2970.3,Male,42,Yes,2,Yes,3,Offer B,5.29,Cable,30,Yes,0,259.21,0,3.912023005428146,49-72,4,1,259.21,0.08726727939938725,60.61836734693878,-1.0183673469387813,0,0
No,30,1,No,DSL,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,Female,25,No,0,No,0,Unknown,19.41,Cable,27,Yes,0,582.3,0,3.4339872044851463,25-48,2,1,582.3,0.3804390435123481,51.019999999999996,4.280000000000001,1,0
Yes,47,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.35,4749.15,Male,61,Yes,1,Yes,1,Unknown,31.35,Fiber Optic,16,Yes,0,1473.45,0,3.871201010907891,25-48,4,0,1473.45,0.31025551940873636,101.04574468085106,-1.695744680851064,1,1
No,72,1,Yes,DSL,Two year,Yes,Credit card (automatic),90.25,6369.45,Male,36,Yes,0,Yes,9,Unknown,10.92,DSL,28,Yes,0,786.24,0,4.290459441148391,49-72,8,1,786.24,0.12343922944681253,88.46458333333334,1.7854166666666629,1,0
